X	192989	220023	 PLCXD1
X	220025	230886	 GTPBP6
X	294698	347690	 PPP2R3B
X	585079	620146	 SHOX
X	1314890	1331616	 CRLF2
X	1387693	1429274	 CSF2RA
X	1455509	1501578	 IL3RA
X	1505045	1511617	 SLC25A6
X	1522032	1572655	 ASMTL
X	1581465	1656000	 P2RY8
X	1710486	1721407	 AKAP17A
X	1733894	1761974	 ASMT
X	2137557	2420846	 DHRSX
X	2404455	2419008	 ZBED1
X	2609220	2659350	 CD99
X	2670091	2734539	 XG
X	2746829	2800859	 GYG2
X	2822011	2847392	 ARSD
X	2852699	2886286	 ARSE
X	2924654	2951612	 ARSH
X	2959512	3030767	 ARSF
X	3189861	3202694	 CXorf28
X	3226606	3264682	 MXRA5
X	3522411	3631649	 PRKX
X	3735569	3761898	 RP11-706O15.1
X	5758678	6146904	 NLGN4X
X	6451659	6453159	 VCX3A
X	6966961	7066231	 HDHD1
X	7137497	7272851	 STS
X	7810303	7812184	 VCX
X	7866288	7895780	 PNPLA4
X	8137989	8139308	 VCX2
X	8432871	8434550	 VCX3B
X	8496915	8700227	 KAL1
X	8758836	8769424	 FAM9A
X	8992273	9132680	 FAM9B
X	9431335	9687780	 TBL1X
X	9693386	9754337	 GPR143
X	9754496	9917483	 SHROOM2
X	9935392	9936134	 AC002365.1
X	9983602	10112518	 WWC3
X	10125024	10205700	 CLCN4
X	10413350	10851773	 MID1
X	11129421	11141198	 HCCS
X	11136239	11683821	 ARHGAP6
X	11311533	11318881	 AMELX
X	11776278	11793870	 MSL3
X	12156585	12742642	 FRMPD4
X	12809474	12842341	 PRPS2
X	12885202	12908499	 TLR7
X	12924739	12941288	 TLR8
X	12993227	12995346	 TMSB4X
X	13053737	13062801	 FAM9C
X	13336770	13338518	 ATXN3L
X	13587724	13651694	 EGFL6
X	13671225	13700083	 TCEANC
X	13707244	13728625	 RAB9A
X	13730363	13752754	 TRAPPC2
X	13752832	13787480	 OFD1
X	13789150	13956757	 GPM6B
X	14026398	14048012	 GEMIN8
X	14547420	14749934	 GLRA2
X	14861529	14891191	 FANCB
X	14891563	14940449	 MOSPD2
X	15253410	15288589	 ASB9
X	15298053	15333778	 ASB11
X	15337573	15353676	 PIGA
X	15363713	15402498	 FIGF
X	15402921	15511687	 PIR
X	15482369	15574652	 BMX
X	15579156	15620271	 ACE2
X	15645441	15683154	 TMEM27
X	15706953	15805747	 CA5B
X	15808595	15841383	 ZRSR2
X	15843929	15873054	 AP1S2
X	16141679	16171144	 GRPR
X	16185604	16189587	 MAGEB17
X	16606126	16731059	 CTPS2
X	16668281	16672793	 S100G
X	16737755	16783459	 SYAP1
X	16804550	16862642	 TXLNG
X	16857406	16888537	 RBBP7
X	16964814	17171395	 REPS2
X	17393543	17754114	 NHS
X	17755588	17773105	 SCML1
X	17818169	17879457	 RAI2
X	18181051	18239024	 BEND2
X	18257434	18372847	 SCML2
X	18443703	18671749	 CDKL5
X	18658030	18690229	 RS1
