8	22601	29775	 AC144568.2
8	116049	117043	 OR4F21
8	142091	150563	 RP11-585F1.10
8	182137	197342	 ZNF596
8	356428	421225	 FBXO25
8	439803	495781	 TDRP
8	564746	688106	 ERICH1
8	1449532	1656642	 DLGAP2
8	1703944	1734738	 CLN8
8	1772142	1906807	 ARHGEF10
8	1922044	1955102	 KBTBD11
8	1993155	2113475	 MYOM2
8	2792875	4852494	 CSMD1
8	6264113	6501144	 MCPH1
8	6357172	6420930	 ANGPT2
8	6565878	6617184	 AGPAT5
8	6728097	6735544	 DEFB1
8	6782215	6783598	 DEFA6
8	6793344	6795860	 DEFA4
8	6835171	6837602	 DEFA1
8	6854288	6875778	 DEFA1B
8	6873391	6875823	 DEFA3
8	6912831	6914256	 DEFA5
8	7213039	7243080	 ZNF705G
8	7272382	7274385	 DEFB4B
8	7286410	7287870	 DEFB103B
8	7300206	7321196	 SPAG11B
8	7327830	7332604	 DEFB104B
8	7340026	7343922	 DEFB106B
8	7345191	7347115	 DEFB105B
8	7353368	7366833	 DEFB107B
8	7397150	7399972	 PRR23D1
8	7636113	7638935	 PRR23D2
8	7669242	7673238	 DEFB107A
8	7679488	7681411	 DEFB105A
8	7682694	7686575	 DEFB106A
8	7693993	7698764	 DEFB104A
8	7705398	7726389	 SPAG11A
8	7738726	7740186	 DEFB103A
8	7752151	7754233	 DEFB4A
8	7783859	7812271	 ZNF705B
8	8046158	8046331	 LRLE1
8	8175258	8244008	 SGK223
8	8559448	8561616	 CLDN23
8	8640864	8751155	 MFHAS1
8	8859657	8974256	 ERI1
8	8993765	9009084	 PPP1R3B
8	9009252	9025646	 RP11-10A14.4
8	9413424	9639856	 TNKS
8	9911778	10286401	 MSRA
8	10383056	10411676	 PRSS55
8	10463859	10569697	 RP1L1
8	10530147	10558103	 C8orf74
8	10581278	10697357	 SOX7
8	10582909	10697357	 SOX7
8	10622473	10697394	 PINX1
8	10753555	11058875	 XKR6
8	10983980	10987745	 AF131215.5
8	11141925	11185646	 MTMR9
8	11188397	11189717	 SLC35G5
8	11225911	11296167	 C8orf12
8	11278972	11332224	 FAM167A
8	11351510	11422113	 BLK
8	11534468	11617511	 GATA4
8	11618896	11620309	 C8orf49
8	11627148	11644855	 NEIL2
8	11653082	11696818	 FDFT1
8	11655437	11660077	 RP11-297N6.4
8	11700033	11726957	 CTSB
8	11831446	11832108	 DEFB136
8	11839830	11842099	 DEFB135
8	11850692	11853821	 DEFB134
8	11870545	11873043	 RP11-481A20.11
8	11921898	11929256	 DEFB130
8	11961898	11973025	 ZNF705D
8	11994677	11996586	 USP17L2
8	12039605	12051642	 FAM86B1
8	12168471	12175825	 DEFB130
8	12282913	12293915	 FAM86B2
8	12579403	12613582	 LONRF1
8	12803151	12889012	 KIAA1456
8	12940870	13373167	 DLC1
8	13424352	13425796	 C8orf48
8	13947373	15095848	 SGCZ
8	15274724	15624158	 TUSC3
8	15965387	16424999	 MSR1
8	16849678	16859690	 FGF20
8	16884747	16980153	 MICU3
8	17013538	17082308	 ZDHHC2
8	17086737	17104387	 CNOT7
8	17104080	17159936	 VPS37A
8	17155539	17271037	 MTMR7
8	17354597	17428082	 SLC7A2
8	17433942	17501580	 PDGFRL
8	17501304	17658426	 MTUS1
8	17721889	17767874	 FGL1
8	17780349	17885478	 PCM1
8	17913934	17942494	 ASAH1
8	18027986	18081198	 NAT1
8	18248755	18258728	 NAT2
8	18384811	18942240	 PSD3
8	19171128	19253729	 SH2D4A
8	19261672	19615540	 CSGALNACT1
8	19674651	19709594	 INTS10
8	19759228	19824769	 LPL
8	20002366	20040717	 SLC18A1
8	20054878	20084330	 ATP6V1B2
8	20103676	20161474	 LZTS1
8	21547915	21669869	 GFRA2
8	21766384	21771371	 DOK2
8	21777180	21864096	 XPO7
8	21881636	21894408	 NPM2
8	21899909	21906320	 FGF17
8	21906506	21940038	 DMTN
8	21946670	21962409	 FAM160B2
8	21964383	21966932	 NUDT18
8	21971928	21990897	 HR
8	21995533	21999464	 REEP4
8	22004338	22014597	 LGI3
8	22014426	22021992	 SFTPC
8	22022249	22069839	 BMP1
8	22077222	22089854	 PHYHIP
8	22102617	22112113	 POLR3D
8	22132810	22215076	 PIWIL2
8	22224762	22291642	 SLC39A14
8	22298332	22398652	 PPP3CC
8	22402499	22433301	 SORBS3
8	22435792	22455538	 PDLIM2
8	22446787	22459597	 AC037459.4
8	22457114	22461663	 C8orf58
8	22462145	22479027	 CCAR2
8	22477931	22526661	 BIN3
8	22545172	22550815	 EGR3
8	22570769	22857513	 PEBP4
8	22844930	22877712	 RHOBTB2
8	22877646	22926692	 TNFRSF10B
8	22941868	22974950	 TNFRSF10C
8	22993101	23021543	 TNFRSF10D
8	23047965	23082639	 TNFRSF10A
8	23101150	23119512	 CHMP7
8	23127633	23153792	 R3HCC1
8	23154702	23282841	 LOXL2
8	23243296	23315208	 ENTPD4
8	23386318	23432976	 SLC25A37
8	23412287	23420651	 AC051642.1
