Y	2654896	2655740	 SRY
Y	2709527	2800041	 RPS4Y1
Y	2803112	2850547	 ZFY
Y	3447082	3448082	 TGIF2LY
Y	4868267	5610265	 PCDH11Y
Y	5306691	5312605	 AC012067.1
Y	6114264	6117060	 TSPY2
Y	6733959	6742068	 AMELY
Y	6778727	6959724	 TBL1Y
Y	9175073	9177893	 TSPY4
Y	9195406	9218479	 TSPY8
Y	9236030	9307357	 TSPY3
Y	9236076	9307357	 TSPY1
Y	9293012	9344176	 AC006156.1
Y	9324922	9327689	 TSPY6P
Y	9365489	9368291	 TSPY10
Y	9374241	9384693	 FAM197Y1
Y	13496241	13524717	 SLC9B1P1
Y	14813160	14972764	 USP9Y
Y	15016019	15032390	 DDX3Y
Y	15360259	15592553	 UTY
Y	15418467	15429181	 AC010877.1
Y	15815447	15817904	 TMSB4Y
Y	16097652	16098393	 VCY
Y	16168097	16168838	 VCY1B
Y	16634518	16957530	 NLGN4Y
Y	19989290	19992100	 CDY2B
Y	20137667	20140477	 CDY2A
Y	20708557	20750849	 HSFY1
Y	20893326	20990548	 HSFY2
Y	21737895	21738068	 AC009977.1
Y	21865751	21906825	 KDM5D
Y	22737611	22755040	 EIF1AY
Y	22918050	22942918	 RPS4Y2
Y	23544840	23548246	 CYorf17
Y	23673224	23687672	 RBMY1B
Y	23673258	23711212	 RBMY1A1
Y	24026223	24064214	 RBMY1E
Y	24026223	24040673	 RBMY1D
Y	24217903	24242154	 PRY2
Y	24314689	24329129	 RBMY1F
Y	24454970	24564028	 RBMY1J
Y	24636544	24660784	 PRY
Y	25119966	25151612	 BPY2
Y	25275502	25345241	 DAZ1
Y	25365594	25437503	 DAZ2
Y	25847479	25850592	 AC016752.1
Y	26191376	26194166	 CDY1B
Y	26753707	26785354	 BPY2B
Y	26909216	26959626	 DAZ3
Y	26980008	27053183	 DAZ4
Y	27177048	27208695	 BPY2C
Y	27768264	27771049	 CDY1
Y	28111776	28114889	 AC007965.1
