1	151,144,910	151,243,214
1	151,336,686	151,409,489
1	231,916,099	231,942,029
10	48,728,692	51,390,058
10	48,736,754	51,386,904
10	55,523,171	55,581,663
10	55,819,471	56,110,079
10	68,049,458	68,208,013
10	68,258,924	68,564,867
10	68,461,442	68,544,726
10	68,461,662	68,544,726
10	68,490,104	68,543,430
10	103,123,032	103,348,865
11	70,452,088	70,584,003
11	84,050,389	84,260,452
11	99,675,026	99,700,021
12	2,794,590	2,851,038
13	66,214,302	67,220,115
14	21,855,238	21,878,308
14	79,313,495	79,537,196
14	79,858,235	80,112,697
14	79,860,707	80,112,697
15	22,770,422	23,082,340
15	22,770,422	23,082,328
15	84,827,469	85,786,847
15	86,980,083	93,499,239
16	6,291,019	6,394,434
16	6,677,327	6,719,038
16	6,749,974	7,122,769
16	8,899,575	9,225,857
16	14,866,284	16,529,801
16	14,888,582	16,837,613
16	14,892,881	16,388,596
16	14,892,881	16,855,360
16	14,896,386	16,837,613
16	14,896,386	16,328,840
16	14,897,373	16,837,613
16	14,897,626	16,327,961
16	14,902,268	16,513,625
16	14,906,735	16,459,117
16	15,054,346	16,498,084
16	15,241,281	18,191,725
16	15,418,963	18,770,833
16	15,481,921	16,391,045
16	21,761,405	22,441,379
16	21,761,405	22,431,369
16	21,801,489	22,442,019
16	46,464,489	62,090,267
16	46,503,205	57,376,253
16	83,892,715	85,792,443
16	84,219,830	85,281,141
17	1,414,210	1,516,533
17	25,307,567	33,392,085
17	28,997,866	30,391,813
17	79,330,617	80,189,678
17	80,190,109	80,252,756
18	136,227	15,400,000
18	380,185	926,925
18	64,545,393	78,014,135
19	48,462,617	51,107,899
2	50,754,487	50,996,179
2	50,986,743	51,644,735
2	51,125,058	51,263,149
2	51,141,571	51,363,855
2	51,163,235	51,285,498
2	51,163,990	51,285,498
2	115,121,259	115,593,610
2	125,028,456	126,071,522
2	148,704,100	148,955,326
2	148,851,175	149,059,335
2	149,015,535	149,198,022
2	149,093,863	149,151,358
2	149,094,015	149,151,358
2	154,683,328	157,754,202
2	156,856,880	157,946,670
2	189,149,450	189,477,881
20	15,002,212	15,239,469
20	15,931,574	15,953,502
20	41,532,600	42,368,502
21	44,093,000	44,134,899
21	44,169,804	44,454,004
22	22,997,803	25,059,631
3	895,261	2,944,652
3	1,111,233	1,242,259
3	2,609,217	2,663,652
3	5,487,436	7,225,364
3	65,262,367	70,563,137
3	194,573,848	197,176,516
3	196,515,157	196,552,147
3	196,521,124	196,552,147
3	197,015,654	197,356,334
4	434,079	1,282,779
4	436,382	1,282,779
4	73,813,059	74,048,890
4	90,845,051	93,905,115
4	94,094,518	94,351,012
4	111,109,020	113,950,046
4	166,470,211	169,679,299
4	166,470,211	169,674,302
5	86,898,555	88,941,578
5	87,976,676	88,086,124
5	88,103,155	88,375,278
6	93,036,907	97,776,208
6	128,243,369	128,378,806
6	128,245,079	128,375,418
6	128,889,640	129,953,317
7	4,777,319	4,821,745
7	5,392,787	5,522,717
7	108,606,430	119,657,890
7	126,811,328	126,884,188
7	145,738,597	145,873,811
7	151,839,191	152,278,875
7	153,260,400	155,060,034
7	153,524,142	153,648,708
7	154,110,670	154,162,367
7	155,124,600	155,465,851
7	157,935,822	157,985,571
8	158,049	6,999,220
8	704,943	1,534,255
8	1,171,229	1,229,149
8	1,499,963	1,854,917
8	1,500,845	1,854,917
8	1,537,471	1,854,917
8	65,023,339	68,301,135
9	8,699,245	8,780,048
9	19,569,670	27,574,515
9	119,052,276	119,574,973
9	119,396,258	119,421,360
9	119,440,208	119,533,142
X	2,696,774	4,958,582
X	22,660,974	23,830,079
X	23,043,876	23,134,236
X	23,043,876	23,124,980
X	23,204,141	23,373,805
X	30,826,902	31,618,449
X	33,035,017	33,287,429
Y	1	59,373,566
